2026-08-31 21:13:12,331 INFO pyjab init jab
2026-08-31 21:13:12,345 INFO pyjab init jab success
00 | frame            | Sistema Unico Provincial de Administracion de Personal |  | -8,-8,1296,736 | action=False
11 | menu item        | Remito de Carpetas Médicas nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Informe de Bajas Preventivas nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes por Destino nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Destino - Agente nemotécnico D |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas Pendientes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas que adeudan Prestación de Servicios nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Partes Diarios Enviados nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pendientes de Justificar nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitar Turnos nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sugerir Turno nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Seguimiento nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Accidentes en Trámite nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sumarios Por Persona nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Regimen por Expediente nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado Regimen Disciplinario nemotécnico L |  | -1,-1,-1,-1 | action=True
11 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
12 | panel            |  |  | 4,1271,1,0 | action=False
12 | panel            |  |  | 4,1271,0,-2 | action=False
12 | scroll pane      |  |  | 4,1271,1,-2 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
12 | menu item        | Configuración - Procesamiento nemotécnico C |  | -1,-1,-1,-1 | action=True
13 | panel            |  |  | 4,1271,1,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 4,1271,1,-2 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 4,1269,784,485 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
15 | scroll pane      |  |  | 4,1269,784,485 | action=False
16 | viewport         |  |  | 4,1269,784,485 | action=False
17 | panel            |  |  | 4,1269,784,485 | action=False
18 | text             |  |  | 4,1269,1,3 | action=False
