2026-08-31 20:55:54,730 INFO pyjab init jab
2026-08-31 20:55:54,753 INFO pyjab init jab success
10 | menu item        | Actualización de Contratos. Planta Temporaria nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Confirmación de Cargos. Presupuesto Promulgado nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Bandeja de Autorizaciones nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Gestión Integral de Asistencia nemotécnico G |  | -1,-1,-1,-1 | action=True
10 | menu item        | Parte Diario de Novedades nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu item        | Ausencias Eventuales nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Comisiones nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Corte de Licencia Anual nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Corte/Anulación Comisiones nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Licencias y Permisos nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas Pendientes nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Permisos x Horario nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Cambios de Horario nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Horario Compensatorio nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Personas a mi Cargo nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas sobre su Personal nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Biometría nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Novedades de Ausentismo nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | menu item        | Solicitud de Carpetas Médicas nemotécnico S |  | -1,-1,-1,-1 | action=True
10 | menu item        | Carpetas Médicas Pedidas y Otorgadas nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de Autorizantes por Estructuras nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de RA / RAP nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración de Responsables nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Consulta de Histórico de Autorizantes nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Habilitación de Partes Diarios nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Partes Diarios nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen Mensual de Comisiones Y Bol.Sal.Of. nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen de Envíos de Partes nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Tiempo Acumulado nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu item        | Bajas Preventivas nemotécnico B |  | -1,-1,-1,-1 | action=True
10 | menu item        | Reintegro Bajas Preventivas nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Licencias por Expediente nemotécnico L |  | -1,-1,-1,-1 | action=True
10 | menu item        | Horario Administrativo nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Planillas de Asistencia nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Resumen de Asistencias y Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Preocupacional nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Examenes Medicos nemotécnico E |  | -1,-1,-1,-1 | action=True
10 | menu             | Accidentes nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Consultas a Exportar nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración del Hospital nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Proponer agentes nemotécnico P |  | -1,-1,-1,-1 | action=True
10 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Nuevo Trámite nemotécnico N |  | -1,-1,-1,-1 | action=True
10 | menu item        | Afectar agentes a un trámite - Trámite masivo nemotécnico A |  | -1,-1,-1,-1 | action=True
10 | menu item        | Totales nemotécnico T |  | -1,-1,-1,-1 | action=True
10 | menu item        | Sumarios Administrativos nemotécnico u |  | -1,-1,-1,-1 | action=True
10 | menu item        | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Días de sanción por agente nemotécnico D |  | -1,-1,-1,-1 | action=True
10 | menu             | Consultas y Listados nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu             | Regimen Disciplinario nemotécnico R |  | -1,-1,-1,-1 | action=True
10 | menu item        | Manuales y Videos nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Destinos nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Informe de Lic.x Exp/Sanciones nemotécnico I |  | -1,-1,-1,-1 | action=True
10 | menu item        | Cascada nemotécnico C |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Horizontal nemotécnico H |  | -1,-1,-1,-1 | action=True
10 | menu item        | Mosaico Vertical nemotécnico M |  | -1,-1,-1,-1 | action=True
10 | separator        |  |  | -1,-1,-1,-1 | action=False
10 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 3,103,969,580 | action=False
11 | internal frame   | Licencias y Permisos |  | 0,79,473,339 | action=True
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | panel            |  |  | 4,1303,1,-2 | action=False
11 | panel            |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Solicitud de Licencias nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitudes Pendientes de Resolución nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Permanencia por Reloj nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Asistencia nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Planilla de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas a mi Cargo nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Mi Responsable de Asistencia nemotécnico M |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas por Estructura nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Innominado nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado por Acto de Nombramiento nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pantel Temporario Designado nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Designado Ley 10592 nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Plantel Nominado Reservado nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Agentes por Partido nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes sin Lugar de Prestacion de Servicio nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Bajas Preventivas Sin Acto nemotécnico B |  | -1,-1,-1,-1 | action=True
11 | menu item        | Cantidad Total Agentes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Resumen Situación de Organismos nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Estadísticas nemotécnico E |  | -1,-1,-1,-1 | action=True
11 | menu item        | Novedades de Ausentismo nemotécnico N |  | -1,-1,-1,-1 | action=True
11 | menu item        | Planilla de Asistencia nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu item        | Fichadas de Agentes a Cargo nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | menu item        | Gestión del Tiempo nemotécnico G |  | -1,-1,-1,-1 | action=True
11 | menu item        | Irregularidades nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Fichadas de Agentes nemotécnico F |  | -1,-1,-1,-1 | action=True
11 | separator        |  |  | -1,-1,-1,-1 | action=False
11 | menu             | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Resumen Diario de Novedades nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas con Novedades nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas - Cantidad de Ausencias nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Ausentismo nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado de Inasistencias nemotécnico L |  | -1,-1,-1,-1 | action=True
11 | menu item        | Remito de Carpetas Médicas nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Informe de Bajas Preventivas nemotécnico I |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Agentes por Destino nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Destino - Agente nemotécnico D |  | -1,-1,-1,-1 | action=True
11 | menu item        | Carpetas Médicas Pendientes nemotécnico C |  | -1,-1,-1,-1 | action=True
11 | menu item        | Personas que adeudan Prestación de Servicios nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Partes Diarios Enviados nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Pendientes de Justificar nemotécnico P |  | -1,-1,-1,-1 | action=True
11 | menu item        | Solicitar Turnos nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sugerir Turno nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Seguimiento nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Accidentes en Trámite nemotécnico A |  | -1,-1,-1,-1 | action=True
11 | menu item        | Sumarios Por Persona nemotécnico S |  | -1,-1,-1,-1 | action=True
11 | menu item        | Regimen por Expediente nemotécnico R |  | -1,-1,-1,-1 | action=True
11 | menu item        | Listado Regimen Disciplinario nemotécnico L |  | -1,-1,-1,-1 | action=True
11 | menu item        | Administración nemotécnico A |  | -1,-1,-1,-1 | action=True
12 | panel            |  |  | 3,103,969,0 | action=False
12 | panel            |  |  | 3,103,0,580 | action=False
12 | scroll pane      |  |  | 3,103,969,580 | action=False
12 | panel            |  |  | 3,100,467,315 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | 4,1303,1,0 | action=False
12 | panel            |  |  | 4,1303,0,-2 | action=False
12 | scroll pane      |  |  | 4,1303,1,-2 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | panel            |  |  | -1,-1,-1,-1 | action=False
12 | scroll pane      |  |  | -1,-1,-1,-1 | action=False
